SpeciesCode,Species,TaxonSort,Visit,Count,SpeciesCover
CG,Canada Goose,2750,OCT-1999,0,Good
CG,Canada Goose,2750,DEC-1999,0,Good
CG,Canada Goose,2750,JAN-2000,0,Good
CG,Canada Goose,2750,FEB-2000,0,Good
CG,Canada Goose,2750,OCT-2000,0,Good
CG,Canada Goose,2750,DEC-2000,0,Good
CG,Canada Goose,2750,JAN-2001,0,Good
CG,Canada Goose,2750,FEB-2001,0,Good
CG,Canada Goose,2750,OCT-2001,0,Good
CG,Canada Goose,2750,DEC-2001,0,Good
CG,Canada Goose,2750,JAN-2002,0,Good
CG,Canada Goose,2750,FEB-2002,0,Good
CG,Canada Goose,2750,OCT-2002,0,Good
CG,Canada Goose,2750,DEC-2002,0,Good
CG,Canada Goose,2750,JAN-2003,0,Good
CG,Canada Goose,2750,FEB-2003,0,Good
CG,Canada Goose,2750,OCT-2003,0,Good
CG,Canada Goose,2750,DEC-2003,0,Good
CG,Canada Goose,2750,JAN-2004,0,Good
CG,Canada Goose,2750,FEB-2004,0,Good
CG,Canada Goose,2750,OCT-2004,0,Good
CG,Canada Goose,2750,DEC-2004,0,Good
CG,Canada Goose,2750,JAN-2005,0,Good
CG,Canada Goose,2750,FEB-2005,0,Good
CG,Canada Goose,2750,OCT-2005,0,Good
CG,Canada Goose,2750,DEC-2005,0,Good
CG,Canada Goose,2750,JAN-2006,0,Good
CG,Canada Goose,2750,FEB-2006,0,Good
CG,Canada Goose,2750,OCT-2006,1,Good
CG,Canada Goose,2750,DEC-2006,0,Poor
CG,Canada Goose,2750,JAN-2007,1,Good
CG,Canada Goose,2750,FEB-2007,0,Poor
CG,Canada Goose,2750,OCT-2007,0,Good
CG,Canada Goose,2750,DEC-2007,0,Good
CG,Canada Goose,2750,JAN-2008,0,Poor
CG,Canada Goose,2750,FEB-2008,0,Good
CG,Canada Goose,2750,OCT-2008,0,Poor
CG,Canada Goose,2750,DEC-2008,0,Good
CG,Canada Goose,2750,JAN-2009,0,Good
CG,Canada Goose,2750,FEB-2009,0,Good
CG,Canada Goose,2750,OCT-2009,11,Good
CG,Canada Goose,2750,JAN-2010,0,Good
CG,Canada Goose,2750,FEB-2010,0,Good
CG,Canada Goose,2750,OCT-2010,0,Good
CG,Canada Goose,2750,DEC-2010,0,Good
CG,Canada Goose,2750,JAN-2011,0,Good
CG,Canada Goose,2750,FEB-2011,0,Good
CG,Canada Goose,2750,OCT-2011,0,Good
